process,parameter,description,metaUnit,unit,min,max
microbial,v_up,maximum uptake rate,mass-biomass mass-biomass^-1 time^-1,hr^-1,1.00E-04,0.1
microbial,k_up,half-saturation uptake rate,mass-simple,kg-C m^-3-soil,1.00E-09,1
microbial,cue,carbon use efficency,mass-biomass mass-biomass^-1,[],0.01,0.7
microbial,basal,maintenance respiration turnover time,mass-biomass mass-CO2^-1 time,hr,1.00E+03,1.00E+08
microbial,tau_B,turnover time for biomass,time,hr,1.00E+02,1.00E+04
microbial,S_to_C,initial simple to complex C,mass-simple mass-complex^-1,[],1.00E-03,1
microbial,B_to_PCS,initial biomass to protected + complex + simple C,mass-biomass mass-complex^-1,[],1.00E-02,1.00E-01
dormancy,S_crit,simple carbon threshold for dormancy,mass-simple,kg-C m^-3,1.00E-03,1.00E+03
dormancy,sleepTau,dormancy turnover time,mass-dormant mass-biomass^-1 time,hr,1.00E+03,1.00E+08
dormancy,wakeTau,recovery from dormancy turnover time,mass-biomass mass-dormant^-1 time,hr,1.00E+03,1.00E+08
dormancy,D_to_B,Dormant-to-active biomass,mass-dormant mass-biomass^-1,[],1,100
mineral,desorbTau,desorption rate,time,hr,1.00E+06,1.00E+09
mineral,sorbTau,maximum sorption rate,time,hr,1.00E+06,1.00E+09
mineral,P_sat,ratio of initial protected pool to maximum,mass-protected mass-initial-protected^-1,[],1.00E+00,1.00E+02
mineral,P_to_CS,initial protected C to complex/simple C,mass-protected mass-complex^-1,[],0,0.66
mineral,PS_to_P,initial protected simple to protect complex,mass-protectedS mass-protectedC^-1,[],0,1
complex,v_enz,maximum enzyme kinetic rate,mass-simple mass-enzyme^-1 time^-1,hr^-1,1.00E-02,1.00E+04
complex,k_enz,half-saturation enzyme kinetic rate,mass-complex,kg-C m^-3-soil,1.00E-05,1.00E+07
complex,C0,initial complex C,mass-complex,kg-C m^-3-soil,0.1,100
enzyme,enz_cost,cost of enzyme production,mass-CO2 mass-enzyme^-1,[],0.1,10
enzyme,enz_prod,rate of enzyme production,mass-enzyme mass-biomass^-1,[],1.00E-06,1.00E-01
enzyme,tau_E,turnover time for enzymes,time,hr,1,1.00E+04
enzyme,E_to_B,initial enzyme ratio to biomass,Mass-enzyme mass-biomass^-1,[],1.00E-06,1.00E-01
